Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3748224223.194,50.1200885772705,7900.20922851562,-0.14802198816642,4.34975204647971E-5
3748224234.155,50.1203289031982,7950.17724609375,-0.147162070271698,4.85133901712535E-5
3748224245.139,50.1208839416504,7999.94482421875,-0.146994249966034,3.04214628528838E-5
3748224256.1525,50.1196422576904,8050.0947265625,-0.146795362388238,3.7260792784909E-5
3748224280.733,50.1207885742188,8100.00048828125,,
3748224291.47,50.1177787780762,8099.998046875,-0.139911860509808,6.58114944762894E-5
3748224302.1135,50.1211585998535,8150.01220703125,-0.146490236639467,4.92210769081446E-5
3748224313.1375,50.1224555969238,8199.9130859375,-0.145538111002719,4.77826093533385E-5
3748224324.101,50.1236038208008,8250.203125,-0.145294521082624,4.72115860392692E-5
3748224335.1315,50.1233825683594,8300.265625,-0.145270462912012,3.59038589331142E-5
3748224346.082,50.1211051940918,8350.208984375,-0.145180391280063,3.50945551644032E-5
3748224357.044,50.1218280792236,8400.197265625,-0.144855299999104,3.98338583972718E-5
3748224369.074,50.1219348907471,8450.1533203125,-0.144068082809187,3.25205934857114E-5
3748224380.0145,50.1210041046143,8500.236328125,-0.144778501307439,4.16928836278134E-5
3748224390.976,50.1208305358887,8550.21826171875,-0.144093550070173,4.73437084698611E-5
3748224402.997,50.120532989502,8600.029296875,-0.143515241649084,3.1259207674455E-5
3748224414.0025,50.1207294464111,8650.2138671875,-0.143181335836779,3.35268785749481E-5
3748224424.961,50.1192474365234,8700.24365234375,-0.143267415681113,4.4463813768091E-5
3748224436.037,50.1190204620361,8750.29931640625,-0.142662487640367,3.36360011191943E-5
3748224446.039,50.1190128326416,8800.1357421875,-0.143329039822834,7.58243902154969E-5
3748224458.0325,50.1186962127686,8850.1474609375,-0.142064428205162,4.56913936717277E-5
3748224469.0115,50.1177711486816,8900.28564453125,-0.142516395334727,4.19268667774156E-5
3748224479.962,50.1188106536865,8949.9541015625,-0.141746491446409,3.55446300733272E-5
3748224490.9295,50.1189765930176,8999.99609375,-0.141517781146383,2.01847658343392E-5
3748224501.971,50.117712020874,9050.2607421875,-0.141339514721219,3.96233911920031E-5
3748224512.987,50.1175632476807,9100.279296875,-0.14118234187249,3.60504400041798E-5
3748224523.9495,50.1170425415039,9150.26171875,-0.14137064063771,3.89834091662395E-5
3748224534.967,50.117525100708,9199.88623046875,-0.140338941868078,2.89016152065161E-5
3748224546.969,50.1172142028809,9250.1005859375,-0.139689693520206,3.28614976291805E-5
3748224557.959,50.1181240081787,9300.296875,-0.140205183208889,3.32332704259728E-5
3748224569.906,50.1169471740723,9349.97412109375,-0.139671425623768,3.42993828338729E-5
